,GEO_ID,NAME,percentage_only_cell_data_plan,percentage_with_computer,percentage_with_computer_and_broadband,percentage_no_vehicle,percentage_public_transportation,percentage_walked,percentage_wfh,percentage_in_labor_pool,percentage_in_same_house_17_and_under,percentage_rent_above_50,percentage_snap,percentage_ssi,percentage_poverty
60,1400000US36067010400,Census Tract 104; Onondaga County; New York,0.04837595024187975,0.9667535853976532,0.9696561024949427,0.006057268722466961,0.0,0.0,0.10848017621145374,0.6278381046396841,0.9822097378277154,0.06713780918727916,0.08735332464146023,0.09767025089605735,0.07148194271481943
61,1400000US36067010500,Census Tract 105; Onondaga County; New York,0.041273584905660375,0.9807037457434733,0.9745370370370371,0.018867924528301886,0.0,0.0,0.03609515996718622,0.6675311203319502,0.9736842105263158,0.0,0.011350737797956867,0.0,0.035184400169563375
62,1400000US36067010600,Census Tract 106; Onondaga County; New York,0.08120649651972157,0.9055276381909547,0.9089900110987791,0.0,0.0,0.013605442176870748,0.061224489795918366,0.6592474827768945,1.0,0.11818181818181818,0.032160804020100506,0.21725239616613418,0.10327102803738318
63,1400000US36067010700,Census Tract 107; Onondaga County; New York,0.0632111251580278,0.8481561822125814,0.9373401534526854,0.014285714285714285,0.006593406593406593,0.005494505494505495,0.05824175824175824,0.5772699939867709,0.9471947194719472,0.14133333333333334,0.1984815618221258,0.04938271604938271,0.1112797167425392
64,1400000US36067010800,Census Tract 108; Onondaga County; New York,0.03242617255356109,0.8858098423315814,0.912621359223301,0.026495383380168606,0.0,0.010839020473705338,0.04456041750301084,0.6392727272727273,0.9847953216374269,0.26390685640362227,0.126134734830387,0.048314606741573035,0.16112531969309463
65,1400000US36067010900,Census Tract 109; Onondaga County; New York,0.03371970495258166,0.9019047619047619,0.9683210137275607,0.011135857461024499,0.028210838901262063,0.005196733481811433,0.14996288047512993,0.6691871455576559,0.8433179723502304,0.4387755102040816,0.10285714285714286,0.18181818181818182,0.14990059642147116
66,1400000US36067011011,Census Tract 110.11; Onondaga County; New York,0.14379474940334128,0.9372613202400436,0.9627473806752037,0.07814269535673839,0.058323895809739526,0.0,0.13533408833522084,0.5832593907128069,0.8255813953488372,0.12356687898089172,0.048554282596835786,0.21891891891891893,0.0994676379938358
67,1400000US36067011012,Census Tract 110.12; Onondaga County; New York,0.11204313960455363,0.9401069518716577,0.9340159271899886,0.008211678832116789,0.0,0.0,0.08485401459854014,0.7151344590368981,0.9388888888888889,0.14769520225776106,0.03048128342245989,0.031506849315068496,0.04462213051328347
68,1400000US36067011021,Census Tract 110.21; Onondaga County; New York,0.07773109243697479,0.9446564885496184,0.9494949494949495,0.0,0.0,0.0,0.07910014513788098,0.6829602558245774,0.9350453172205438,0.16759776536312848,0.11259541984732824,0.24814264487369986,0.1761527377521614
69,1400000US36067011022,Census Tract 110.22; Onondaga County; New York,0.059574468085106386,0.9550038789759504,0.9545085296506904,0.0425531914893617,0.0,0.019987105093488073,0.06447453255963895,0.6113316492241068,0.7908163265306123,0.17421602787456447,0.060512024825446084,0.26894865525672373,0.08049634107540567
70,1400000US36067011101,Census Tract 111.01; Onondaga County; New York,0.08452950558213716,0.9353163361661945,0.9495204442200909,0.03327102803738318,0.005233644859813084,0.014953271028037384,0.11140186915887851,0.6275831087151842,0.8767013610888711,0.15416666666666667,0.05712936732766761,0.09179104477611941,0.0790556251117868
71,1400000US36067011102,Census Tract 111.02; Onondaga County; New York,0.09610983981693363,0.9497956800934034,0.7959434542102028,0.06575486586007365,0.007364544976328248,0.03051025775907417,0.08574434508153603,0.7528714338643943,0.8133333333333334,0.1343558282208589,0.2037361354349095,0.1764102564102564,0.21974965229485396
72,1400000US36067011201,Census Tract 112.01; Onondaga County; New York,0.06428571428571428,0.9876277568585261,0.9787581699346405,0.10712761416986769,0.0034144259496372174,0.011096884336320957,0.11054204011950491,0.6879473232178643,0.8106448311156602,0.3190348525469169,0.15922538999462077,0.34441087613293053,0.1579426490669094
